"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Get courses","LMS service","Fri Jan 16 10:25:42 UTC 2026","passed","Fri Jan 16 10:25:42 UTC 2026","TestCourses","Courses","",""
"","296","Create file with empty directory","LMS service","Fri Jan 16 10:25:48 UTC 2026","passed","Fri Jan 16 10:25:49 UTC 2026","TestFiles","Files","",""
"","14","Get file","LMS service","Fri Jan 16 10:25:47 UTC 2026","passed","Fri Jan 16 10:25:47 UTC 2026","TestFiles","Files","",""
"","19","Delete file","LMS service","Fri Jan 16 10:25:47 UTC 2026","passed","Fri Jan 16 10:25:47 UTC 2026","TestFiles","Files","",""
"","21","Delete exercise","LMS service","Fri Jan 16 10:25:45 UTC 2026","passed","Fri Jan 16 10:25:45 UTC 2026","TestExercises","Exercises","",""
"","30","Update exercise","LMS service","Fri Jan 16 10:25:44 UTC 2026","passed","Fri Jan 16 10:25:44 UTC 2026","TestExercises","Exercises","",""
"","553","Login with correct email and password","LMS service","Fri Jan 16 10:25:41 UTC 2026","passed","Fri Jan 16 10:25:41 UTC 2026","TestAuthentication","Authentication","",""
"","14","Get user me","LMS service","Fri Jan 16 10:25:51 UTC 2026","passed","Fri Jan 16 10:25:51 UTC 2026","TestUsers","Users","",""
"","293","Create exercise","LMS service","Fri Jan 16 10:25:43 UTC 2026","passed","Fri Jan 16 10:25:44 UTC 2026","TestExercises","Exercises","",""
"","19","Get exercise","LMS service","Fri Jan 16 10:25:45 UTC 2026","passed","Fri Jan 16 10:25:45 UTC 2026","TestExercises","Exercises","",""
"","286","Get exercises","LMS service","Fri Jan 16 10:25:46 UTC 2026","passed","Fri Jan 16 10:25:46 UTC 2026","TestExercises","Exercises","",""
"","262","Get file with incorrect file id","LMS service","Fri Jan 16 10:25:49 UTC 2026","passed","Fri Jan 16 10:25:49 UTC 2026","TestFiles","Files","",""
"","307","Update course","LMS service","Fri Jan 16 10:25:42 UTC 2026","passed","Fri Jan 16 10:25:42 UTC 2026","TestCourses","Courses","",""
"","290","Create user","LMS service","Fri Jan 16 10:25:49 UTC 2026","passed","Fri Jan 16 10:25:50 UTC 2026","TestUsers","Users","",""
"","301","Create course","LMS service","Fri Jan 16 10:25:42 UTC 2026","passed","Fri Jan 16 10:25:43 UTC 2026","TestCourses","Courses","",""
"","555","Create user","LMS service","Fri Jan 16 10:25:49 UTC 2026","passed","Fri Jan 16 10:25:49 UTC 2026","TestUsers","Users","",""
"","18","Create file","LMS service","Fri Jan 16 10:25:46 UTC 2026","passed","Fri Jan 16 10:25:46 UTC 2026","TestFiles","Files","",""
"","559","Create user","LMS service","Fri Jan 16 10:25:49 UTC 2026","passed","Fri Jan 16 10:25:50 UTC 2026","TestUsers","Users","",""
"","283","Create file with empty filename","LMS service","Fri Jan 16 10:25:48 UTC 2026","passed","Fri Jan 16 10:25:48 UTC 2026","TestFiles","Files","",""
